voltage,time
2.939,24.172677278518677
2.926,24.277750253677368
2.939,24.382793426513672
2.939,24.487898588180542
2.965,24.59301733970642
2.952,24.698136568069458
2.952,24.803224563598633
2.939,24.908316612243652
2.965,25.01359724998474
2.965,25.118704795837402
2.978,25.223795175552368
2.978,25.32881450653076
2.965,25.43394160270691
2.965,25.538989543914795
2.978,25.644037008285522
2.978,25.74921941757202
2.978,25.854313373565674
2.978,25.95941662788391
2.991,26.06443476676941
2.978,26.169483184814453
2.978,26.2745201587677
2.978,26.379555702209473
2.978,26.484657764434814
2.991,26.589718103408813
2.978,26.69476318359375
2.978,26.79979968070984
2.991,26.9048969745636
3.016,27.01007890701294
3.016,27.11514949798584
3.004,27.220226287841797
3.004,27.325430154800415
3.004,27.430538177490234
3.004,27.535656929016113
3.029,27.6407630443573
3.029,27.74598240852356
3.004,27.851025342941284
3.029,27.956119537353516
3.042,28.061166286468506
3.042,28.1662015914917
3.029,28.27128028869629
3.029,28.376405239105225
3.029,28.481459140777588
3.042,28.58649230003357
3.042,28.691519260406494
3.042,28.796584606170654
3.094,28.90169906616211
3.055,29.0065975189209
3.094,29.111469507217407
3.094,29.216341018676758
3.094,29.321211099624634
3.094,29.42608118057251
3.094,29.53096842765808
3.094,29.635867595672607
3.094,29.74100136756897
3.094,29.84610605239868
3.094,29.95115303993225
3.094,30.05624032020569
3.094,30.16129755973816
3.094,30.266351222991943
3.094,30.371415615081787
3.094,30.476533889770508
3.094,30.581578731536865
3.094,30.686657190322876
3.094,30.791747331619263
3.094,30.896934509277344
3.094,31.001977920532227
3.094,31.10707712173462
3.094,31.21213173866272
3.094,31.317221641540527
3.094,31.422258615493774
3.094,31.52739644050598
3.094,31.632441520690918
3.094,31.737500429153442
3.094,31.842599630355835
3.094,31.94771909713745
3.094,32.052759647369385
3.094,32.15781903266907
3.094,32.262890577316284
3.094,32.36798095703125
3.094,32.47306942939758
3.107,32.57822060585022
3.094,32.68326926231384
3.094,32.788363456726074
3.107,32.89346194267273
3.107,32.99858069419861
3.094,33.1036639213562
3.094,33.2087767124176
3.094,33.31391191482544
3.107,33.41894555091858
3.12,33.52401828765869
3.107,33.62904930114746
3.107,33.734363079071045
3.107,33.83940505981445
3.12,33.944644927978516
3.12,34.0495400428772
3.107,34.15442633628845
3.132,34.25929880142212
3.132,34.36417269706726
3.107,34.469099283218384
3.12,34.573984146118164
3.107,34.678866147994995
3.107,34.78399205207825
3.132,34.88908672332764
3.132,34.99426031112671
3.132,35.09927535057068
3.107,35.20439147949219
3.12,35.30945062637329
3.107,35.414546251297
3.132,35.51963782310486
3.107,35.62472724914551
3.132,35.7298686504364
3.132,35.83496427536011
3.132,35.940056562423706
3.132,36.04519486427307
3.132,36.15028929710388
3.132,36.2553346157074
3.107,36.36044478416443
3.132,36.46554112434387
3.132,36.570624113082886
3.145,36.67571949958801
3.132,36.780757188797
3.132,36.88582682609558
3.145,36.990910053253174
3.145,37.09606885910034
3.145,37.20117545127869
3.132,37.306283712387085
3.145,37.41145157814026
3.145,37.51654410362244
3.132,37.62162923812866
3.145,37.72669744491577
3.145,37.83173727989197
3.145,37.936777114868164
3.145,38.04184913635254
3.158,38.14694547653198
3.132,38.252037048339844
3.132,38.35712790489197
3.132,38.462215423583984
3.145,38.56725740432739
3.132,38.67241406440735
3.132,38.777533531188965
3.145,38.8827588558197
3.158,38.98786425590515
3.158,39.09286618232727
3.132,39.197967767715454
3.145,39.30309224128723
3.132,39.4081826210022
3.171,39.513633251190186
3.158,39.61901235580444
3.158,39.72448778152466
3.145,39.829383850097656
3.171,39.93426275253296
3.158,40.03913402557373
3.158,40.144020557403564
3.171,40.24902653694153
3.171,40.35436987876892
3.158,40.459776878356934
3.158,40.56466603279114
3.197,40.669548988342285
3.171,40.774433851242065
3.158,40.879314661026
3.171,40.98419237136841
3.171,41.08908033370972
3.171,41.194207429885864
3.158,41.299253940582275
3.184,41.404356956481934
3.171,41.50947904586792
3.171,41.6145224571228
3.197,41.7196090221405
3.171,41.82471418380737
3.184,41.92980623245239
3.158,42.034849643707275
3.158,42.1400408744812
3.171,42.24523973464966
3.171,42.350125789642334
3.184,42.45499897003174
3.197,42.559879779815674
3.171,42.664766788482666
3.184,42.76963806152344
